id,words
9263,"Comedy, Drama, Family, 1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director"
17015,"Drama, Romance, captain, napoleonic wars, old flame, admiral"
902,"Fantasy, Science Fiction, Adventure, clone, dream, island, eye, dystopia, aging, friendship, rescue, children, girl, childhood"
37557,"Drama, Crime, servant, cabaret, shanghai, diva, uncle, mistress, umbrella"
9909,"Drama, Crime, rap music, karate, high school, naval officer, teacher, amusement park"
63,"Science Fiction, Thriller, Mystery, schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean"
78802,"Romance, Adventure"
9598,"Fantasy, Drama, Comedy, Family, sheep, pig, affection, piglet, heroism, talking animal, separation, german shepherd, grandson, talking pig"
47018,"History, Drama, Romance, england, painter, conscientious objector, independent film, soldier"
687,"Drama, prison, rape, socially deprived family, penalty, death penalty, despair, death row, begnadigung, therapist, self-discovery, prison cell, court case, death sentence, doomed man, sentence, lethal injection, forgiveness, charity, mercy petition, rage and hate, unsociability, right and justice, court, electric chair, cowardliness"
139405,"Adventure, History, Drama, Family"
33689,"Comedy, Family, Romance, orphan, identical twin"
9603,"Comedy, Drama, Romance, puberty, high school, make a match, spoiled child, gay interest, conflict, woman director"
34615,"Drama, south africa"
31174,"Drama, War, england, shakespeare, kidnapping, murder, king"
11443,"Action, Crime, Drama, History, money, loss of virginity, hiding in a dumpster, mercy killing, armored truck, crushed by a car"
35196,"Drama, Romance, jealousy, medicine, fountain, court, wealth, spaniel, gloves"
9312,"Action, Fantasy, martial arts, monster, island, gore, sorcerer, tournament, violence, based on video game, hand to hand combat"
577,"Fantasy, Drama, Comedy, Thriller, adultery, winter, obsession, television, new hampshire, narcissistic personality disorder"
11861,"Drama, Romance, wedding vows, marriage proposal, married couple, monogamy, advice, marriage, quilt, love, family holiday, extramarital affair, grandmother, woman director"
807,"Crime, Mystery, Thriller, self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration, lust and impulsiveness, rage and hate, pride and vanity, immoderateness, insomnia, investigation, pension, police, serial killer"
10530,"Adventure, Animation, Drama, Family, culture clash, settler, forbidden love, colony, musical, gold rush, princess, romance, native american, animation, virginia, star crossed lovers, reference to pizarro, jamestown virginia, pug dog, cross cultural relationship, musket, animate tree, indian chief, based on myths or folklore, 17th century, shamanism, songs, indians vs. settlers, animal sidekick, powhatan, land claim"
8391,"Drama, Romance, professor, lgbt, woman director"
629,"Drama, Crime, Thriller, law, relatives, theft, criminal, criminal mastermind, hungarian, sibling"
117164,"Action, Thriller, Drama"
11448,"Comedy, Romance, prostitute, adoption, adoptive father, childlessness, looking for  birth parents, adoptive mother, independent film, illegal prostitution, child"
49133,"Drama, Foreign, independent film"
26441,"Action, Adventure, Comedy, Family, sport, kids and family, soccer, woman director"
97406,"Drama, alcohol, artist, music, drug, band"
124057,
9089,"Comedy, Drama, Romance, baltimore, thanksgiving, family clan, family conflict, generations conflict, woman director"
11010,"Comedy, Drama, Romance, island, letter, postman, fisherman, poet"
99040,"Thriller, Drama, Mystery"
11359,"Adventure, Family, Fantasy, cupboard, games, puppet, parallel world, toy comes to life"
17182,"Drama, Thriller, rape, gun, self-defense, grieving parents"
2054,"Music, Drama, Family, composer, mentor, deaf-mute, musical, apprentice, private life, music, disabled"
10607,"Comedy, date, slang, hip-hop, cousin, parody, hood, gang, social satire, racism, gangster"
19760,"Comedy, Romance, island, painting, thief, seasickness"
9536,"Comedy, biotope, vegetarian, pollution"
11525,"Action, Science Fiction, hacker, virtual reality, computer, sword fight"
40628,"Drama, Family"
4482,"Comedy, Romance, love triangle, southern france, estate agent, menage a trois, van, woman director"
10634,"Comedy, rap music, parent child relationship, rapper, job"
755,"Horror, Action, Thriller, Crime, dancing, brother brother relationship, sexual obsession, showdown, sheriff, eroticism, nudity, bank robber, vampire, holy water, siege, stripper, priest, explosion, extreme violence, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, blood spurting, convenience store, female vampire, mexican american border, nightclub entertainer, boa constrictor"
11859,"Action, Thriller, Romance, bomb, miami, sex, detective, handcuffs, based on novel, hostage, fbi, kidnapping, russian, kgb, chase, sadism, parking garage, pizza, police protection, psychopath, remake, car crash, conspiracy, on the run, fugitive, shootout, gunfight, sadist, foot chase, police detective, police station, car chase, held at gunpoint, fbi agent, double cross, cult film, computer hacker, machine gun, swat team, grenade launcher, underwater scene, rogue agent, woman lawyer, damsel in distress"
28387,"Comedy, Drama, Romance, college"
48750,"Drama, History, paris, nun, boxer, lawyer, jewish"
20927,"Drama, Romance, florist, family relationships"
36929,"Comedy, Family, bully"
9102,"Horror, Science Fiction, man vs machine, alien planet, struggle for survival"
124626,Documentary
27526,"Drama, Thriller, loss of daughter, hit-and-run driving , revenge, suspense, independent film, tragedy"
9623,"Drama, Thriller, jurors, blackmail, court case, son, trial, courtroom"
46785,"Family, Drama, fish, money, celebration, goldfish"
400,"Drama, Crime, father son relationship, bounty hunter, boat, way of life, coffin, denver, godmother, paranoia, hitman, friendship, psychopath, revenge, murder, independent film, mafia, diner, blood, gangster, violence, illegal prostitution, extramarital affair"
880,"Drama, Comedy, suicide, underdog, free love, philosophy, rape, mentally disabled, loss of mother, village life, world war ii, feminism, indian summer , family history, widow, peasant, village, mathematics, freedom, right and justice, single, homosexuality, mother daughter relationship, domestic violence, university, woman director"
146599,"Romance, Drama, racial segregation, family relationships, rural setting, african american"
188588,
8447,"Drama, Romance, class society, rich woman - poor man, scientist, naturalist, insect"
10534,"Action, Drama, sailing trip, diary, sailing, survival, coming of age, teenage boy, discipline, squall, sail, ship captain, caribbean, male bonding, seasickness, storm at sea, 1960s"
17414,"Adventure, Comedy, Family, boss, fistfight, bully, orangutan, hotel manager"
13997,"Comedy, nitrous oxide, candid camera, double act, political satire, crooked politician, woman director"
2086,"Crime, Drama, Thriller, assassination, train station, politics, los angeles"
61548,Drama
9095,"Drama, Horror, Thriller, Romance, servant, monster, laboratory, jekyll and hyde, housemaid, 19th century"
12158,"Comedy, Horror, Romance, vampire, half vampire"
9283,"Comedy, Drama, Romance, hometown"
9208,"Action, Adventure, Drama, Thriller, helicopter, river, captain, underground, mexican standoff, countdown, pilot, fistfight, canyon, major, betrayal, gunfight, train, explosion, park ranger, desert, military, nuclear device, boxing, stealth aircraft, abandoned mine, humvee"
40154,"Comedy, play, hamlet, christmas, actor"
406,"Drama, paris, neo-nazi, skinhead, robbery, police brutality, hip-hop, gun, socially deprived family, breakdance, arabian, boredom, revenge, suburb, violence, police officer, unemployment, capture, xenophobia"
45549,"Action, Adventure, Drama, Science Fiction, Thriller"
63076,"Documentary, narration, hollywood, prostitution"
11062,"Drama, Thriller, corruption, undercover, war on drugs, mayor, drug dealer, presidential election, undercover agent, investigation, police, drug"
13685,"Comedy, Crime, Drama, brother brother relationship, robbery, burglar, language barrier, motel, independent film, psychiatric hospital, maid, theft, nervous breakdown, escapade, laundry room"
47475,"Comedy, Romance"
2045,"Drama, Mystery, Science Fiction, Thriller, wife husband relationship, experiment, police, murder, suspense, memory, forensic, gunman, animal experimentation"
9614,"Comedy, loss of mother, loss of father, golf, sport, taxes"
688,"Drama, Romance, farewell, adultery, love at first sight, photographer, wife husband relationship, iowa, love of one's life, mother role, bridge, housewife, love letter, peasant, marriage crisis, photography, unsociability, secret love, nature documentary"
11907,"Drama, Comedy, Family, prophecy, voodoo, single, falling in love, woman director, rich man"
10874,"Action, Comedy, Music, Family, Adventure, island, pirate gang, puppet, treasure hunt"
89333,Documentary
96357,"Crime, ex-con"
197,"Action, Drama, History, War, individual, scotland, in love with enemy, legend, independence, idealism, revolt, tyranny"
103,"Crime, Drama, vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner"
33542,"Crime, Action, Comedy, Thriller, new york, martial arts, supermarket, gang war, disabled child, gang, wedding, diamond, bronx, duringcreditsstinger"
43566,"Drama, Thriller"
71754,"Drama, mining, dance lesson, coal mining, bagpipes"
43612,"Comedy, best friend, twins, country, identity swap, woman director"
51352,"Documentary, Drama, Foreign, fascism, auschwitz, typhus, victim, interview, prejudice, burglary, rabbit"
16934,"Comedy, Crime, Drama, london england, poison, based on true story, murder, serial killer, mental institution, teenager, psychiatrist, stepmother, social misfit"
10324,"Comedy, Romance, roommate, single, love, independent film, best friend, brooklyn bridge"
78406,"Comedy, Drama, brother brother relationship, twin brother, lawyer, estate, santa barbara california"
55731,"Action, Adventure, Comedy, Drama, Family, hawaii, australia, teacher, car, solar power"
32119,Drama
11066,"Comedy, Romance, role of women, ladykiller, success, ladies' man, chefin, casanova, womanizer"
11104,"Drama, Comedy, Romance, ex-girlfriend, drug smuggle, girlfriend, snack bar, romance, hong kong, pineapple, expiration date, flight attendant"
37975,"Drama, Romance"
2074,"Comedy, Romance, lsd, looking for  birth parents, half-brother, independent film"
27793,"Fantasy, flying, magic"
44284,"Drama, woman director"
290157,
110972,"Comedy, Romance"
32622,"Comedy, Drama, independent film, woman director"
73067,"Drama, Romance, War, boy, writer, ireland, flashback, troop ship"
11863,"Action, Thriller, Mystery, Romance, callgirl, san francisco, investigation, murder"
55475,"Comedy, Drama, Romance, new york, emigration, dominican republic"
124636,"Music, Documentary"
9101,"Comedy, submarine, u.s. navy, misfit"
123360,"Documentary, biography"
5757,"Comedy, homosexuality, independent film, mockumentary"
39428,"Drama, southern usa, based on novel, singer, south"
124639,
9302,"Drama, Romance, skab under tv, foran, nederste hylde"
11000,"Comedy, gay, drag queen, homophobia, florida, coming out, senator, politician, lgbt, crossdressing, 1990s"
249882,"Drama, mountain, miracle, apparition, communism, virgin mary"
16388,"Comedy, Drama, Romance, love, independent film, best friend, true love, irish catholic"
9737,"Action, Comedy, Crime, Thriller, miami, detective, handcuffs, airport, mexican standoff, strip club, witness protection, car crash, internal affairs, gunfight, explosion, brutality, foot chase, car chase, drug lord, hangar, loose cannon, bust, reference to skittles, black cop, badge, action hero, corrupt cop"
30765,"Action, Adventure, Drama, Family, china, panda, poacher"
10474,"Drama, Crime, sport, basketball, addiction, friends, drug"
22279,"Romance, Drama, Comedy, england, based on novel, liverpool, theatre company, 1940s"
30157,"Crime, Comedy, Drama, Thriller, independent film"
568,"Drama, moon, florida, nasa, spaceman, race against time, houston, based on true story, space, rescue, survival, disaster, explosion, astronaut, imax, saturn v rocket, courage, hypothermia, apollo program, cape kennedy, lunar mission, spacecraft accident"
11780,"Adventure, scotland, biography, 18th century, highlands, violent man"
34996,"Drama, Horror, new york, philosophy, vampire, blood, student, violence"
414,"Action, Crime, Fantasy, riddle, dc comics, rose, gotham city, partner, superhero, robin, broken neck, psychologist, violence, criminal, district attorney, millionaire, falling down stairs, tied up, tommy gun, beretta, knocked out, super powers, disfigurement, father figure"
649,"Drama, Romance, prostitute, adultery, double life, dual identity, jealousy, wife husband relationship, brothel, dream, women's sexual identity, fantasy, masochism, independent film"
1873,"Drama, Thriller, burma, rangoon, doctor"
5894,"Comedy, smoking, corner shop, cigarette, tobacco, cigar, independent film"
1775,"Action, Comedy"
8839,"Fantasy, Comedy, Family, halloween, friendship, supernatural, afterlife, friends, danger, ghost, disorder, young heroes, imaginary, supernatural ability, mischievous children"
20649,"Mystery, Crime, Drama, drug pusher, train, drug, drug lord"
10329,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller, gorilla, kongo, diamond mine, diamond"
8963,"Action, Thriller, Drama, submarine, mutiny, russia, missile, nuclear missile, embassy, u.s. navy, battle for power, torpedo, military, moral dilemma, post cold war, aircraft carrier, chain of command, launch code, sonar"
26564,"Documentary, underground, biography, art"
8068,"Thriller, Action, Crime, gunslinger, anti terror, ambush, mexico, showdown, guitar, nudity, hitman, bartender, revenge, tragic hero, shootout, mariachi, explosion, extreme violence, brutality, drug lord, leg brace, concealed weapon, flashback, bookstore"
8512,"Drama, Mystery, Thriller, jazz club, murder, los angeles, private detective, film noir, neo-noir"
1572,"Action, Thriller, bomb, taxi, riddle, robbery, detective, helicopter, gold, subway, ship, fistfight, police, sequel, deception, shootout, new york city, explosion, violence, car chase, fbi agent, simon says, flashback, dump truck, aqueduct, action hero, federal reserve bank"
13552,"Action, Comedy, Crime, Drama, sex, eroticism, nudity, nazis, suspense, drifter, voyeur"
259209,"Drama, Crime"
6520,"Action, Adventure, Drama, Romance, camelot, knight, king arthur, excalibur, knights of the round table"
9073,"Adventure, human animal relationship, whale, killer whale"
10428,"Action, Crime, Thriller, Drama, female nudity, hacker, nudity, computer virus, virtual reality, computer, sexual fantasy, prank, internet, cyberpunk, teenager, new york city, secret service, computer hacker, dream sequence"
17447,"Comedy, Drama, Romance, gay, aids, based on play or musical, hiv positive"
9886,"Adventure, Action, Drama, Science Fiction, Thriller, brain, childhood memory, dystopia, pharmaceutical industry, computer chip, courier, cyber, cyberpunk"
9482,"Science Fiction, judge, post-apocalyptic, dystopia, based on comic, police officer, based on graphic novel, frame up, dystopic future, framed for murder, gene, prosthetic limb, post holocaust, dna testing, dredd, 2000 ad"
19326,"Comedy, Drama, stripper, jury, jurist, independent film, jury duty, verdict"
9344,"Drama, Crime, puberty, first time"
9071,"Drama, Comedy, cinema, independent film, filmmaker"
8973,"Mystery, Horror, Thriller, fanatic, supernatural, wizardry, resurrection, sect, occultism"
15730,"Comedy, Drama"
47608,"Drama, Family, Romance, suicide attempt, college, teen angst, mental illness, woman director"
2293,"Romance, Comedy, sex, game show, slacker, shopping, mall, ex-boyfriend ex-girlfriend relationship, jay and silent bob, silent man, coke, bandleader, aftercreditsstinger"
9070,"Action, Adventure, Science Fiction, Family, Fantasy, based on tv series, tokusatsu, superhero team, ethnic diversity, super sentai, power rangers, mighty morphin power rangers, mmpr"
68274,"Comedy, Drama, Romance, widow, female friendship, grief, death of husband"
48787,"Thriller, Foreign, chase, police, murder, mute, disk"
34574,"Horror, Thriller, new york, vampire, dracula"
1642,"Crime, Drama, Mystery, Thriller, Action, cheating, new identity, computer virus, chase, computer, stalking"
11472,"Comedy, parent child relationship, baby, marriage, pregnancy, child wish"
36196,"Comedy, library, party, independent film, free spirit, woman director, librarian"
11980,"Fantasy, Horror, Thriller, angel, archangel gabriel, menschheit"
58372,"Fantasy, Comedy, Drama, trauma, game show, female protagonist, christmas"
32646,"Drama, sex, chemical, medicine, housewife, pollution, quarantine, independent film, allergy, psychiatrist, illness, disorder, retreat, multiple chemical sensitivity (mcs), environmental illness"
10533,"Drama, History, Romance, based on novel, burning of witches, puritan, pregnancy, period drama, extramarital affair"
56088,Documentary
10802,"Drama, dancing, female nudity, go-go dancer, spanner, seduction, striptease, sexappeal"
10149,"Comedy, Drama, smoking, robber, cigarette, cigar, laden, independent film, writer"
18402,"Comedy, horse, savannah, based on true story, family"
9348,"Science Fiction, Horror, Action, telepathy, dna, paranoia, genetics, instinct, femme fatale, alien, on the run, decapitation, sexual attraction, los angeles, cocoon, genetic engineering, scientists, alien dna"
139408,"Drama, restaurant, oil, rural setting"
281,"Crime, Drama, Science Fiction, Thriller, pornography, prostitute, rape, police brutality, dream, ex-girlfriend, future, bodyguard, rapper, virtual reality, dystopia, minidisc, police, ex-cop, murder, cyberpunk, los angeles, violence, criminal, private detective, revolt, woman director"
5967,"Drama, Romance, car mechanic, letter, musical, war, single"
79593,Thriller
47939,"Drama, Fantasy, baseball, drifter, dog, korean war, woman director"
36834,"Drama, Romance, mentor, poet, woman director"
9090,"Comedy, transvestism, gay, new york, drag queen, homophobia, travel, road movie, woman director"
3512,"Action, Thriller, terrorist, pentagon, satellite, navy seal, train"
52856,"Comedy, Drama, Family, woman director"
77350,"Documentary, fashion"
9560,"Drama, Romance, world war ii, vineyard, love, remake, pregnancy, harvest, grape, abandoned woman"
9804,"Adventure, Action, ocean, tattoo, mutant, water, dystopia, doomsday"
31611,"Drama, dystopia, black white relations, alternative universe"
65796,"Action, Western, opium, loss of eyesight, biography, sioux, wild bill hickok, calamity jane"
49805,Drama
26258,"Adventure, Action, Comedy, Crime, Family, cave, waterfall, children, mistaken identity, boy scouts leader"
50797,"Drama, wife husband relationship, colonel"
19155,"Drama, War, monk, mountain, restaurant, war photographer, christian, fashion photographer, girl, violence, albanian, macedonia"
76,"Drama, Romance, dialogue, sunrise, talking, soulmates, walking, austria, traveller, danube, bittersweet, romantic, vienna"
11017,"Comedy, woman director"
37141,"Drama, Thriller, alcohol, obsession, babysitter, party, teenager, parents"
9382,"Comedy, Drama, aids, roommate, homicide, car journey, friendship, friends, homosexuality, escape, road movie"
6715,"Drama, Family, mississippi"
18256,"Thriller, Drama, Horror, Mystery, castle, voyeurism"
22625,"Drama, Family, Romance, forbidden love, moral conflict, independent film"
2292,"Comedy, salesclerk, loser, aftercreditsstinger"
1909,"Romance, Drama, Comedy, sex addiction, love, mental institution, patient, psychiatrist, don juan"
8984,"Drama, Thriller, Crime, Mystery, Romance, employee, workplace, sexual harassment, intrigue"
61813,"Thriller, vision, psychic"
4954,"Action, Adventure, Thriller, terrorist, transport of prisoners, airplane, parachuting, suspense"
62488,"Crime, Comedy, Fantasy, heist, expectant father"
10531,"Drama, Thriller, Mystery, married couple, chile, pinochet-regime, revenge, doctor, torture, humiliation"
11929,"Crime, Drama, Mystery, child abuse, detective, based on novel, bar, island, suspicion of murder, murder, suspense, dysfunctional family, domestic violence, reporter, maid, anger, alcoholic, accident, abusive father, abusive husband, anti-depressant, bangor-maine, bank account"
8467,"Comedy, gas station, motel, utah, stupidity, pill, prank, cigar smoking, violence, criminal, fired from the job, clumsiness, stepmother stepdaughter relationship, sitting on a toilet, aspen colorado, parakeet, defecation, scooter, hotel suite, endangered species, foolish, laxative"
10451,"Comedy, Drama, Romance, cooking, sense of life, daughter, dating, family"
20156,"Drama, Mystery, secret, nightclub, pet shop, independent film, unhappiness"
18395,"Thriller, Comedy, Crime, Romance, female nudity, sexuality, island, love, mistress, kinky, smuggler, bdsm"
522,"Comedy, Drama, History, individual, taxi, transsexuality, fortune teller, film business, film making, film producer, vororte, film maker, boxer, film director, oddball, celebrity, morphine, movie studio, los angeles, drug addict, cult director, theremin, handgun, trick or treating, actor, transvestite"
397,"Comedy, Romance, paris, airport, in love with enemy, canadian, necklace, fear of flying, deal, vineyard, smuggling"
10525,"Comedy, Drama, Romance, paris, dallas, basketball, crisis, falling in love, referee"
27985,"Action, Adventure, Drama, Family, wilderness, boy and dog"
15789,"Romance, Animation, Family, Comedy, Adventure, father son relationship, pop singer, musical, celebrity, road trip, dead mother, first love, goofy"
27303,"Drama, Thriller, suspense"
21183,"Drama, Family, Fantasy, father son relationship, based on novel, reincarnation, talking dog, car accident, dog, flashback, dog movie"
10954,"History, Drama, brother brother relationship, opera, eunuch, biography, dresden, opera singer"
47867,"Drama, Family, Fantasy, country music"
43475,"Fantasy, Animation, Science Fiction, Family"
72031,"Drama, Action, Thriller, Crime"
14275,"Documentary, chicago, sports team, ghetto, narration, college, sport, basketball, high school sports, independent film, inner city, high school student"
1024,"Drama, Fantasy, mother, sex, secret, obsession, literature, nudity, fantasy, passion, love, friends, murder, independent film, lesbian, true, relationship"
17207,"Comedy, Family"
13701,"Drama, Music, Romance, deafness, sister-in-law, character study, uncle nephew relationship, für elise"
14819,"Comedy, Family, Drama, overweight, summer camp"
32631,"Action, Thriller"
11777,"Comedy, Drama, Romance, wedding vows, mathematician, car mechanic, comet, albert einstein, halley's comet"
628,"Horror, Romance, paris, san francisco, vampire, plantation, pity, bite, fang vamp"
87729,"Drama, Romance, france, revolution, biography, president, history"
18713,"Comedy, Crime, new york, telephone joke, gangster"
6280,"Comedy, Family, Romance, baby, medicine, media, pregnancy, scientist, science, male pregnancy, fertility, gynaecology, ceasarean birth"
9061,"Action, Drama, Mystery, Thriller, rape, black people, florida, professor, harvard university, innocence, revenge, suspense"
37108,"Adventure, Fantasy, Comedy, Science Fiction, Family, time travel, kids, medieval times"
6071,"Action, Crime, Drama, Thriller, hoodlum"
11,"Adventure, Action, Science Fiction, android, galaxy, hermit, death star, lightsaber, jedi, rescue mission, empire, rebellion, planet, smuggler, the force, space opera, galactic war, stormtrooper, totalitarianism"
9587,"Drama, Romance, depression, mother daughter relationship, pregnant, desire, chalkboard,  nightgown, louisa may alcott, birth of twins, woman director"
19101,"Drama, Family, Fantasy, based on novel, servant, private school, female friendship, boarding school, british, school, little girl, orphan, india, rich poor, father daughter relationship, schoolgirl, presumed dead, attic, imagination, african american servant, fantasy life"
49980,"Drama, love, children, family, social services"
17961,"Crime, Drama"
18183,"Drama, Romance, chocolate, jealousy, sister sister relationship, cooking, mexican revolution, marriage, wedding, single mother, recipe, magic realism, new mexican cinema, new latin american cinema"
4476,"Adventure, Drama, Romance, War, brother brother relationship, montana, based on novel, world war i, journey round the world"
11008,"Adventure, Comedy, Family, headquarter, military base, military service, base, major, military spoof, instructor"
47504,"Action, Drama, russian mafia, dysfunctional family, brothers"
32325,"Crime, Drama, east los angeles, gang, los angeles, poverty, gang member, hispanic, mexican american, girl gang, woman director, cholo, chola"
43742,"Drama, Romance, cruise, disabled, empire state building, accident, accident victim"
28313,"Drama, mother, child abuse, single parent, based on novel, smoking, baby, social work, drug addiction, adoption, liberation, social worker, self-abandonment, court case, custody battle, son, looking for  birth parents, surrogate mother, racist, interracial relationship, extramarital affair"
11318,"Comedy, Drama, History, queen, kingdom, biography, victorian england, psychopathy"
3036,"Drama, Horror, Science Fiction, Romance, human experimentation, frankenstein, remake"
40490,"Action, Comedy, Family"
24070,"Comedy, Drama, Romance, holiday, rollerblades, cross dresser, woman director, suicide hotline, christmas"
8986,"Comedy, Romance, prostitute, tree house, red-light disctrict, young people, stripper, make a match, mob boss"
10510,"Fantasy, Drama, Family, holiday, competition, new love, santa claus, department store, miracle, wish, christmas"
17402,"Comedy, Romance"
38722,"Comedy, Drama, immigrant, marriage, independent film, family relationships, los angeles, family, death of wife"
8438,"Crime, Drama, prison, prisoner, death row, alcatraz, lawyer, courtroom, murder trial, 1940s, mistreatment, public defender, prisoner abuse"
11593,"Drama, Comedy, illegal employment, retirement, drama"
1945,"Drama, Thriller, loss of mother, loss of sister, twin sister, autism, lake, kaspar-hauser-syndrom, feral child, forest, north carolina, psychologist, family"
39310,"Crime, Drama, new jersey, police, brutality, troubled teen, hiphop, black youths"
109560,"Action, Thriller, Crime, Drama"
56428,"Horror, suicide, detective, experiment, hallucination, scientist, drug, killer"
63105,"Science Fiction, Action, Thriller, cyborg, post-apocalyptic, sequel"
131957,"Drama, Romance"
241,"Crime, Thriller, Drama, sadistic, journalist, mass murder, yellow press, trauma, daughter, satire, controversy, controversial, violence, young couple, abuse"
9058,"Comedy, Drama, Romance, venice, italy, fortune teller, soulmates, cheating, trip"
527,"Drama, individual, slum, suicide, tattoo, alcohol, rape, tradition, loss of child, indigenous, despair, violent husband, ghetto, new zealand, maori, strong woman, lack of prospects, maori tradition, funeral, approved school , crush, independent film, teacher, youth gang, domestic violence, violence, rebellious youth, alcohol abuse, incest, unemployment"
18220,"Drama, Romance, Thriller, sex, obsession, diary, murder, student, lust, art, woman director, erotic movie"
6950,"Action, Drama, Science Fiction, Thriller, river, general, research, army, serum, monkey, epidemic, medical research"
101,"Thriller, Crime, Drama, new york, corruption, assassin, police brutality, loss of family, s.w.a.t., immigrant, hitman, training, revenge, murder, loneliness, neighbor, tragic love, cult film, neo-noir, complex relationship, complex characters"
63020,"Comedy, Drama, Romance, immigration, independent film, woman director, political prisoner, cuban refugees"
2307,"Comedy, Drama, Romance, jealousy, burning house, teenage crush, arsonist"
680,"Thriller, Crime, transporter, brothel, drug dealer, boxer, massage, stolen money, crime boss, dance contest, junkyard, kamikaze, ambiguous ending, briefcase, redemption, heirloom, pulp fiction, reference to al green, theft, brutality"
41478,"Drama, black panther"
25296,"Comedy, Drama"
40156,"Drama, Romance, gay, secret, faith, independent film, conservative, girl, church, united kingdom, catholic priest, crisis of faith, woman director, abuse"
11450,"History, Drama, television, tv show, manipulation, manipulation of the media, product placement, investigation, tv ratings, quiz show, fragen, lawyer"
30304,"Drama, History, hawaii, arranged marriage, cultural difference, orphan, older man younger woman relationship, black and white scene, asian american"
10452,"Drama, History, marriage of convenience, konfession, royalty, slaughter"
12106,"Action, Western, gunslinger, revenge, prairie, shootout, pistol"
161495,"Drama, Comedy, grandfather grandson relationship, roommate, birthday, funeral, vegetarian, orphan, deathbed"
3586,"Drama, Comedy, paris, hotel room, suspicion of murder, mannequin, fashion photographer, sandwich, poodle, reporter, fashion"
110,"Drama, Mystery, Romance, judge, isolation, mannequin, shadowing, english channel, geneva, travel, dog"
108,"Drama, Music, Mystery, paris, composer, pain, loss of husband, to compose"
109,"Comedy, Drama, Mystery, hairdresser, sexual frustration, funeral, business man, poland"
159185,Drama
36357,"Comedy, Family, TV Movie"
92769,"Horror, Drama, therapist, suspicion, serial murder, special education"
28033,"Comedy, Drama"
22586,"Animation, princess, swan"
